,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1930-03,0.0101,-0.0827,0.043,0.1609,0.024700000000000003,-0.0019,0.073,0.0599,0.10300000000000001,-0.0256,0.0355,0.0554,0.0521,0.0913,0.1268,0.0591,0.0175,0.0095,0.19079999999999997,0.09720000000000001,0.08789999999999999,0.0941,0.045,0.061500000000000006,0.0388,-0.049100000000000005,-0.0273,0.0492,0.0864,0.0626
1930-04,0.032400000000000005,-0.1133,-0.0288,0.0278,0.0095,-0.015300000000000001,-0.0113,-0.0127,-0.053099999999999994,-0.09880000000000001,-0.0541,-0.1338,0.062400000000000004,0.0297,-0.0862,-0.0653,-0.1356,-0.084,0.07400000000000001,0.0334,-0.0452,-0.0042,-0.0177,-0.0277,-0.0711,0.0467,0.0255,0.024399999999999998,-0.04019999999999999,-0.032400000000000005
1930-05,0.0187,-0.0045000000000000005,0.018600000000000002,-0.035,-0.0087,-0.0745,-0.042,-0.0149,-0.023399999999999997,-0.057699999999999994,-0.013600000000000001,0.0019,-0.056799999999999996,-0.049,0.0504,-0.0575,0.054000000000000006,-0.0202,-0.0381,-0.013300000000000001,0.004,-0.1475,-0.024399999999999998,0.0006,-0.0043,-0.0821,0.0008,-0.018600000000000002,-0.055999999999999994,-0.0815
1930-06,-0.1155,-0.2919,-0.0886,-0.25579999999999997,-0.1197,-0.2457,-0.124,-0.1334,-0.1773,-0.1826,-0.18539999999999998,-0.1323,-0.1707,-0.2007,-0.22649999999999998,-0.17739999999999997,-0.0797,-0.1155,-0.1567,-0.1906,-0.0834,-0.0347,-0.18469999999999998,-0.1693,-0.09880000000000001,-0.24100000000000002,-0.15960000000000002,-0.1726,-0.2151,-0.1805
1930-07,0.0322,0.0174,0.029300000000000003,0.0277,0.0365,0.0584,0.0323,0.0652,0.0545,0.054000000000000006,0.0774,0.0341,0.0304,0.039900000000000005,0.11810000000000001,0.048,0.0364,-0.0146,0.055,0.0406,0.0127,0.018799999999999997,0.0438,0.0751,0.0327,-0.0126,0.0278,0.0279,0.044199999999999996,0.0849
1930-08,0.0163,0.0924,0.0462,0.0371,-0.0218,0.0063,-0.028900000000000002,0.0771,0.0435,-0.014499999999999999,-0.0263,-0.0246,0.0097,0.0163,-0.022400000000000003,0.0034000000000000002,-0.13140000000000002,0.024,-0.0347,0.0118,0.0174,0.0576,0.0443,-0.0144,0.0034000000000000002,-0.0771,0.0542,0.0175,0.0127,-0.0086
1930-09,-0.1003,-0.12279999999999999,-0.08779999999999999,-0.18230000000000002,-0.0378,-0.10529999999999999,-0.0337,-0.087,-0.1412,-0.1301,-0.1572,-0.1184,-0.1659,-0.2005,-0.1642,-0.17629999999999998,-0.09269999999999999,-0.0588,-0.1594,-0.1192,-0.0527,-0.0667,-0.11449999999999999,-0.1282,-0.08410000000000001,-0.0965,-0.10800000000000001,-0.1398,-0.1813,-0.1814
1930-10,-0.0489,-0.0124,-0.047400000000000005,-0.0885,-0.0678,-0.0462,-0.0519,-0.0437,-0.1232,-0.0371,-0.1445,-0.0895,-0.1066,-0.1864,-0.11220000000000001,-0.11699999999999999,-0.1059,-0.11449999999999999,-0.0819,-0.0828,-0.0412,0.0027,-0.1301,-0.030899999999999997,-0.0672,-0.06,-0.0858,-0.1038,-0.1543,-0.1471
1930-11,0.0103,0.0354,-0.009300000000000001,-0.0644,-0.0298,-0.0184,0.0151,-0.0323,0.001,-0.0435,-0.028999999999999998,-0.013000000000000001,-0.0073,-0.0361,0.0591,0.0363,0.0453,-0.0962,-0.034,-0.0874,-0.0327,-0.0668,-0.0215,0.0023,-0.054000000000000006,0.0275,0.0297,-0.0246,-0.08449999999999999,0.0223
1930-12,-0.048,-0.1158,-0.0311,-0.1518,-0.050199999999999995,-0.061500000000000006,-0.0747,-0.0679,-0.047,-0.061399999999999996,-0.12240000000000001,-0.0876,-0.09539999999999998,-0.12029999999999999,-0.0158,-0.1465,-0.0832,-0.0883,-0.1249,-0.0369,-0.038,0.01,-0.0679,-0.0581,-0.079,-0.0394,-0.1386,-0.0817,-0.1253,-0.1324
